mean_ear,std_ear,blink_rate,mean_perclos,max_perclos,mean_closure_time,max_closure_time,mean_yaw,std_yaw,yaw_range,mean_pitch,std_pitch,pitch_range,mean_gaze_variance,saccade_delta,label
0.15704,0.08431056609675655,4,4.7700000000000005,11.02,0.06000000000000001,0.2,-0.38337,0.11794853915538289,0.3337,0.004870000000000002,0.1403168244446197,0.3907,0.0072071999999999995,18,alert
0.18175000000000002,0.06769842029996795,7,15.419,16.44,0.027000000000000003,0.2,-0.4093,0.0917934396106582,0.31209999999999993,0.12596,0.09705122587811266,0.2838,0.0136606,23,alert
0.17185,0.07137656400310181,5,15.607,16.35,0.026000000000000002,0.13,-0.4325,0.14200603273570223,0.49639999999999995,0.12689999999999999,0.08444520906086582,0.2524,0.014608200000000002,18,alert
0.17553,0.05826029808826362,5,15.688000000000002,16.89,0.036,0.23,-0.43466999999999995,0.06526515234879261,0.21919999999999995,0.19541999999999998,0.04798418257903095,0.1467,0.0039342000000000005,16,alert
0.17728000000000002,0.07177561950659539,4,16.923,18.33,0.030000000000000006,0.23,-0.40871,0.06319329166225725,0.2338,0.19889,0.05793426255488006,0.195,0.0086856,8,alert
0.16271,0.08906516278670476,5,15.788,16.33,0.026000000000000002,0.13,-0.39543,0.060959112890891426,0.19479999999999997,0.15199000000000001,0.08119476515692922,0.27349999999999997,0.0048398,14,alert
0.13418,0.08054424319038023,3,29.897000000000002,44.29,0.24699999999999997,1.2,-0.32447000000000004,0.09534799479334168,0.2925,-0.05315000000000001,0.27139776978531793,0.8402000000000001,0.0088942,28,drowsy
0.14865,0.07318614395270916,3,37.41799999999999,42.15,0.084,0.5,-0.29774999999999996,0.10733318064171334,0.358,0.029349999999999998,0.12332757869457532,0.45799999999999996,0.009424499999999999,14,drowsy
0.13855,0.08210568054512293,3,31.508999999999997,33.4,0.09,0.37,-0.22627000000000003,0.07261505889123672,0.21789999999999998,0.08244,0.037125169659170884,0.1216,0.0056216,13,drowsy
0.14062000000000002,0.07757980550518428,3,31.789000000000005,33.22,0.21000000000000002,0.77,-0.29437,0.06444591272273725,0.2293,0.03317,0.03823157653621473,0.11689999999999999,0.0061757,14,drowsy
0.09957,0.07696433589656965,3,35.266000000000005,38.78,0.5369999999999999,1.63,-0.25687,0.10543599480253411,0.3581,0.10085000000000002,0.13670198120973473,0.48960000000000004,0.013779099999999999,25,drowsy
0.13614,0.08015632227092259,3,44.899,49.89,0.497,1.43,-0.35438000000000003,0.08080713389849246,0.25889999999999996,0.06176999999999999,0.07054425010036057,0.2545,0.006372,25,drowsy
0.14035999999999998,0.08799021662788552,3,51.678999999999995,53.0,0.28,0.93,-0.38782,0.1402830773036355,0.4316,0.02661,0.08913446085051005,0.3047,0.008411400000000001,13,drowsy
0.09378,0.10346749140564768,1,74.465,96.43,1.3619999999999999,3.43,-0.26153,0.07723473671577806,0.20510000000000003,-0.021390000000000003,0.028087065033965762,0.1076,0.011883999999999999,23,eye_closed
0.13522000000000003,0.115873779988783,2,75.064,83.09,1.274,4.3,-0.20697000000000002,0.06879586631638722,0.2132,0.004590000000000001,0.04603405623376386,0.1563,0.007209499999999999,13,eye_closed
0.09093000000000001,0.11110809601464693,1,69.23299999999999,72.49,1.282,3.37,-0.11046,0.05927801166256057,0.14590000000000003,-0.02249,0.05533434637626877,0.1684,0.0055514,18,eye_closed
0.08386999999999999,0.08881372579105601,1,68.83800000000001,72.56,1.814,5.1,-0.15689999999999998,0.0900899920449917,0.3137,-0.011279999999999998,0.038328138778477384,0.1239,0.0038900999999999996,17,eye_closed
0.08524999999999999,0.09466676349760306,2,67.454,69.78,1.9770000000000003,4.9,-0.22813,0.0913046067962741,0.2823,0.003020000000000002,0.06927277483494748,0.23299999999999998,0.005052900000000001,17,eye_closed
0.10828,0.1069661711840607,1,68.013,70.11,1.7939999999999998,5.17,-0.26209999999999994,0.07421172414113555,0.2026,0.012079999999999999,0.062352096997615084,0.2276,0.0038478000000000006,11,eye_closed
0.2355,0.041679384725678364,1,1.6369999999999998,2.91,0.0,0.0,-0.22132000000000002,0.11520732808482473,0.3905,0.12433000000000001,0.013349411139738629,0.035500000000000004,0.0037136,11,fixation
0.21921,0.05509909154322681,3,4.556,4.99,0.003,0.03,-0.19038000000000002,0.05041538125083124,0.16889999999999997,0.09358,0.022144314544972187,0.0683,0.0060589,11,fixation
0.22927999999999998,0.013259612865138007,3,4.858,5.12,0.0,0.0,-0.19705999999999999,0.045227405654339956,0.14379999999999998,0.08938,0.017277396923276504,0.04229999999999999,0.0043147,8,fixation
0.21170999999999998,0.05929342196980108,4,5.51,5.89,0.003,0.03,-0.25125000000000003,0.0685527574613564,0.1997,0.09219000000000001,0.038494226118269276,0.1314,0.005990400000000001,10,fixation
0.18839999999999998,0.07071850300074702,3,5.489,6.0,0.02,0.13,-0.27864999999999995,0.07025443046527385,0.2525,0.07066,0.03533805628811837,0.1289,0.003757,8,fixation
0.2162,0.03532691765652802,2,5.511,5.89,0.0,0.0,-0.28022,0.08499678163841787,0.25079999999999997,0.06406999999999999,0.04488924766083249,0.15789999999999998,0.0033323,4,fixation
0.21428000000000003,0.03976754120301296,4,5.577,5.89,0.0,0.0,-0.26293,0.07757240417112833,0.2875,0.08944,0.022939010925107958,0.0789,0.004713,10,fixation
0.22085,0.01462230032062899,3,5.5009999999999994,5.78,0.0,0.0,-0.28060999999999997,0.06769835793183367,0.21960000000000002,0.08079,0.012133374542054563,0.0373,0.0056507,9,fixation
0.2551,0.03905975479242599,2,6.621,8.57,0.0,0.0,-0.1081,0.11333530390443708,0.2929,0.20061999999999997,0.1653124839004403,0.3986,0.0092869,30,scanning
0.27779999999999994,0.04481822545944153,2,9.222999999999999,10.38,0.0,0.0,0.08346,0.2144337825789377,0.7848999999999999,0.27096,0.16475688621588946,0.5095000000000001,0.020143300000000003,37,scanning
0.25789999999999996,0.0901165664878304,4,8.737,9.7,0.02,0.2,0.056709999999999997,0.26063130386727446,0.7578,0.21793,0.37814075289500343,1.1474,0.051070199999999996,31,scanning
0.25982,0.02699130724264141,2,8.093,8.77,0.0,0.0,-0.08052999999999999,0.1638073465317651,0.4446,0.29680000000000006,0.2849766306208283,0.7212999999999999,0.0222931,31,scanning
0.25166,0.077233041288471,2,7.01,8.0,0.02,0.2,-0.04598,0.17811287182882404,0.5151,0.16370000000000004,0.2530856157289246,0.672,0.0198315,33,scanning
